MCS up to size 6:
R_ASPT	R_PYAM5PO	R_ALCD2xTGreverse	R_D_LACtexTGreverse	R_H2OtexTGforward	R_MDHTGreverse	
R_ASPT	R_MOX	R_ALCD2xTGreverse	R_D_LACtexTGreverse	R_H2OtexTGforward	R_MDHTGreverse	
R_EX_lac__D_e	R_DRPA	R_PDH	R_PPC	R_H2OtexTGforward	R_TPITGforward	
R_EX_lac__D_e	R_PDH	R_PPC	R_H2OtexTGforward	R_PPM2TGforward	R_TPITGforward	
R_EX_h2o_e	R_ASPT	R_PYAM5PO	R_D_LACt2ppTGreverse	R_ETOHtexTGreverse	R_MDHTGreverse	
R_EX_h2o_e	R_ASPT	R_MOX	R_D_LACt2ppTGreverse	R_ETOHtexTGreverse	R_MDHTGreverse	
R_EX_h2o_e	R_ASPT	R_PYAM5PO	R_ALCD2xTGreverse	R_D_LACtexTGreverse	R_MDHTGreverse	
R_EX_h2o_e	R_ASPT	R_MOX	R_ALCD2xTGreverse	R_D_LACtexTGreverse	R_MDHTGreverse	
R_EX_etoh_e	R_ASNNpp	R_ASPT	R_FUMTGreverse	R_H2OtppTGforward	R_LDH_DTGreverse	
R_EX_etoh_e	R_ASPT	R_ASNt2rppTGreverse	R_FUMTGreverse	R_H2OtppTGforward	R_LDH_DTGreverse	
R_EX_etoh_e	R_ASPT	R_FUMTGreverse	R_H2OtppTGforward	R_LDH_DTGreverse	R_PPKTGreverse	
R_EX_etoh_e	R_ASNS2	R_ASPT	R_FUMTGreverse	R_H2OtppTGforward	R_LDH_DTGreverse	
R_EX_lac__D_e	R_ASPT	R_MOX	R_ALCD2xTGreverse	R_H2OtexTGforward	R_MDHTGreverse	
R_EX_lac__D_e	R_ASPT	R_PYAM5PO	R_ALCD2xTGreverse	R_H2OtexTGforward	R_MDHTGreverse	
R_DRPA	R_PDH	R_PPC	R_D_LACtexTGreverse	R_H2OtexTGforward	R_TPITGforward	
R_PDH	R_PPC	R_D_LACtexTGreverse	R_H2OtexTGforward	R_PPM2TGforward	R_TPITGforward	
R_EX_etoh_e	R_ASPT	R_PYAM5PO	R_H2OtexTGforward	R_LDH_DTGreverse	R_MDHTGreverse	
R_EX_etoh_e	R_ASPT	R_MOX	R_H2OtexTGforward	R_LDH_DTGreverse	R_MDHTGreverse	
R_EX_lac__D_e	R_ASPT	R_MOX	R_ETOHtrppTGreverse	R_H2OtexTGforward	R_MDHTGreverse	
R_EX_lac__D_e	R_ASPT	R_PYAM5PO	R_ETOHtrppTGreverse	R_H2OtexTGforward	R_MDHTGreverse	
R_EX_h2o_e	R_DRPA	R_PDH	R_PPC	R_D_LACtexTGreverse	R_TPITGforward	
R_EX_h2o_e	R_PDH	R_PPC	R_D_LACtexTGreverse	R_PPM2TGforward	R_TPITGforward	
R_ASPT	R_PYAM5PO	R_D_LACtexTGreverse	R_ETOHtrppTGreverse	R_H2OtexTGforward	R_MDHTGreverse	
R_ASPT	R_MOX	R_D_LACtexTGreverse	R_ETOHtrppTGreverse	R_H2OtexTGforward	R_MDHTGreverse	
R_EX_h2o_e	R_DRPA	R_PDH	R_PPC	R_D_LACt2ppTGreverse	R_TPITGforward	
R_EX_h2o_e	R_EX_lac__D_e	R_ASPT	R_MOX	R_ETOHtrppTGreverse	R_MDHTGreverse	
R_EX_h2o_e	R_EX_lac__D_e	R_ASPT	R_PYAM5PO	R_ETOHtrppTGreverse	R_MDHTGreverse	
R_EX_h2o_e	R_ASPT	R_MOX	R_ETOHtrppTGreverse	R_LDH_DTGreverse	R_MDHTGreverse	
R_EX_h2o_e	R_ASPT	R_PYAM5PO	R_ETOHtrppTGreverse	R_LDH_DTGreverse	R_MDHTGreverse	
R_EX_h2o_e	R_ASPT	R_PYAM5PO	R_D_LACtexTGreverse	R_ETOHtrppTGreverse	R_MDHTGreverse	
R_EX_h2o_e	R_ASPT	R_MOX	R_D_LACtexTGreverse	R_ETOHtrppTGreverse	R_MDHTGreverse	
R_EX_h2o_e	R_ASPT	R_MOX	R_ETOHtexTGreverse	R_LDH_DTGreverse	R_MDHTGreverse	
R_EX_h2o_e	R_ASPT	R_PYAM5PO	R_ETOHtexTGreverse	R_LDH_DTGreverse	R_MDHTGreverse	
R_ASPT	R_PYAM5PO	R_ETOHtexTGreverse	R_H2OtexTGforward	R_LDH_DTGreverse	R_MDHTGreverse	
R_ASPT	R_MOX	R_ETOHtexTGreverse	R_H2OtexTGforward	R_LDH_DTGreverse	R_MDHTGreverse	
R_EX_etoh_e	R_ASPT	R_MOX	R_D_LACtexTGreverse	R_H2OtexTGforward	R_MDHTGreverse	
R_EX_etoh_e	R_ASPT	R_PYAM5PO	R_D_LACtexTGreverse	R_H2OtexTGforward	R_MDHTGreverse	
R_EX_etoh_e	R_EX_h2o_e	R_ASPT	R_MOX	R_D_LACtexTGreverse	R_MDHTGreverse	
R_EX_etoh_e	R_EX_h2o_e	R_ASPT	R_PYAM5PO	R_D_LACtexTGreverse	R_MDHTGreverse	
R_EX_etoh_e	R_ASPT	R_MOX	R_D_LACt2ppTGreverse	R_H2OtexTGforward	R_MDHTGreverse	
R_EX_etoh_e	R_ASPT	R_PYAM5PO	R_D_LACt2ppTGreverse	R_H2OtexTGforward	R_MDHTGreverse	
R_EX_h2o_e	R_PDH	R_PPC	R_D_LACt2ppTGreverse	R_PPM2TGforward	R_TPITGforward	
R_EX_h2o_e	R_EX_lac__D_e	R_DRPA	R_PDH	R_PPC	R_TPITGforward	
